idade,ano,sexo,clientela,populacao
2,2042,1,2,1516054
2,2042,3,1,6536932
2,2042,3,2,1435944
2,2043,1,1,6825443
2,2043,1,2,1517722
2,2043,3,1,6544123
2,2043,3,2,1437524
2,2044,1,1,6830903
2,2044,1,2,1518936
2,2044,3,1,6549358
2,2044,3,2,1438674
2,2045,1,1,6835002
2,2045,1,2,1519847
2,2045,3,1,6553288
2,2045,3,2,1439537
2,2046,1,1,6837053
2,2046,1,2,1520303
2,2046,3,1,6555254
2,2046,3,2,1439969
2,2047,1,1,6837737
2,2047,1,2,1520455
2,2047,3,1,6555910
2,2047,3,2,1440113
2,2048,1,1,6836369
2,2048,1,2,1520151
2,2048,3,1,6554599
2,2048,3,2,1439825
2,2049,1,1,6833634
2,2049,1,2,1519543
2,2049,3,1,6551977
2,2049,3,2,1439249
2,2050,1,1,6828850
2,2050,1,2,1518479
2,2050,3,1,6547391
2,2050,3,2,1438242
2,2051,1,1,6822704
2,2051,1,2,1517112
2,2051,3,1,6541498
2,2051,3,2,1436948
2,2052,1,1,6814517
2,2052,1,2,1515291
2,2052,3,1,6533648
2,2052,3,2,1435224
2,2053,1,1,6804977
2,2053,1,2,1513170
2,2053,3,1,6524501
2,2053,3,2,1433215
2,2054,1,1,6794089
2,2054,1,2,1510749
2,2054,3,1,6514062
2,2054,3,2,1430922
2,2055,1,1,6806998
2,2055,1,2,1513619
2,2055,3,1,6526439
2,2055,3,2,1433641
2,2056,1,1,6792703
2,2056,1,2,1510440
2,2056,3,1,6512733
2,2056,3,2,1430630
2,2057,1,1,6776401
2,2057,1,2,1506815
2,2057,3,1,6497102
2,2057,3,2,1427196
2,2058,1,1,6758782
2,2058,1,2,1502897
2,2058,3,1,6480210
2,2058,3,2,1423485
2,2059,1,1,6739182
2,2059,1,2,1498539
2,2059,3,1,6461417
2,2059,3,2,1419357
2,2060,1,1,6718291
2,2060,1,2,1493894
2,2060,3,1,6441387
2,2060,3,2,1414957
3,2013,1,1,6965080
3,2013,1,2,1585309
3,2013,3,1,6463350
3,2013,3,2,1522263
3,2014,1,1,6675210
3,2014,1,2,1548377
3,2014,3,1,6337373
3,2014,3,2,1430075
3,2015,1,1,6537037
3,2015,1,2,1566378
3,2015,3,1,6304124
3,2015,3,2,1456910
3,2016,1,1,6591294
3,2016,1,2,1579379
3,2016,3,1,6356448
3,2016,3,2,1469002
3,2017,1,1,6644024
3,2017,1,2,1592014
3,2017,3,1,6407300
3,2017,3,2,1480754
3,2018,1,1,6698505
3,2018,1,2,1605069
3,2018,3,1,6459840
3,2018,3,2,1492896
3,2019,1,1,6751423
3,2019,1,2,1617749
3,2019,3,1,6510873
3,2019,3,2,1504690
3,2020,1,1,6803409
3,2020,1,2,1630206
3,2020,3,1,6561007
3,2020,3,2,1516276
3,2021,1,1,6853754
3,2021,1,2,1642270
3,2021,3,1,6609558
3,2021,3,2,1527496
3,2022,1,1,6902416
3,2022,1,2,1653930
3,2022,3,1,6656486
3,2022,3,2,1538341
3,2023,1,1,6949352
3,2023,1,2,1665177
3,2023,3,1,6701750
3,2023,3,2,1548802
3,2024,1,1,6994523
3,2024,1,2,1676001
3,2024,3,1,6745311
3,2024,3,2,1558869
3,2025,1,1,7037889
3,2025,1,2,1686392
3,2025,3,1,6787132
3,2025,3,2,1568534
3,2026,1,1,7079413
3,2026,1,2,1696342
3,2026,3,1,6827176
3,2026,3,2,1577788
3,2027,1,1,7119058
3,2027,1,2,1705842
3,2027,3,1,6865408
3,2027,3,2,1586624
3,2028,1,1,7156789
3,2028,1,2,1714883
3,2028,3,1,6901795
3,2028,3,2,1595033
3,2029,1,1,7192573
3,2029,1,2,1723457
3,2029,3,1,6936304
3,2029,3,2,1603008
3,2030,1,1,7226378
3,2030,1,2,1731557
3,2030,3,1,6968905
3,2030,3,2,1610542
3,2031,1,1,7258174
3,2031,1,2,1739176
3,2031,3,1,6999568
3,2031,3,2,1617628
3,2032,1,1,7287933
3,2032,1,2,1746307
3,2032,3,1,7028266
3,2032,3,2,1624260
3,2033,1,1,7315627
3,2033,1,2,1752943
3,2033,3,1,7054973
3,2033,3,2,1630432
3,2034,1,1,7341232
3,2034,1,2,1759078
3,2034,3,1,7079665
3,2034,3,2,1636139
3,2035,1,1,7364724
3,2035,1,2,1764707
3,2035,3,1,7102320
3,2035,3,2,1641375
3,2036,1,1,7386082
3,2036,1,2,1769825
3,2036,3,1,7122917
3,2036,3,2,1646135
3,2037,1,1,7406024
3,2037,1,2,1774604
3,2037,3,1,7142149
3,2037,3,2,1650580
3,2038,1,1,7423798
3,2038,1,2,1778863
3,2038,3,1,7159290
3,2038,3,2,1654541
3,2039,1,1,7439388
3,2039,1,2,1782599
3,2039,3,1,7174325
3,2039,3,2,1658016
3,2040,1,1,7452779
3,2040,1,2,1785808
3,2040,3,1,7187239
3,2040,3,2,1661000
3,2041,1,1,7464703
3,2041,1,2,1788665
3,2041,3,1,7198739
3,2041,3,2,1663658
3,2042,1,1,7474407
3,2042,1,2,1790990
3,2042,3,1,7208097
3,2042,3,2,1665821
3,2043,1,1,7482629
3,2043,1,2,1792960
3,2043,3,1,7216026
3,2043,3,2,1667653
3,2044,1,1,7488615
3,2044,1,2,1794394
3,2044,3,1,7221799
3,2044,3,2,1668987
3,2045,1,1,7493108
3,2045,1,2,1795471
3,2045,3,1,7226132
3,2045,3,2,1669988
3,2046,1,1,7495356
3,2046,1,2,1796010
3,2046,3,1,7228300
3,2046,3,2,1670489
3,2047,1,1,7496106
3,2047,1,2,1796190
3,2047,3,1,7229023
3,2047,3,2,1670656
3,2048,1,1,7494607
3,2048,1,2,1795831
3,2048,3,1,7227577
3,2048,3,2,1670322
3,2049,1,1,7491609
3,2049,1,2,1795113
3,2049,3,1,7224686
3,2049,3,2,1669654
3,2050,1,1,7486365
3,2050,1,2,1793856
3,2050,3,1,7219629
3,2050,3,2,1668485
3,2051,1,1,7479627
3,2051,1,2,1792242
3,2051,3,1,7213131
3,2051,3,2,1666983
3,2052,1,1,7470651
3,2052,1,2,1790091
3,2052,3,1,7204475
3,2052,3,2,1664983
3,2053,1,1,7460192
3,2053,1,2,1787585
3,2053,3,1,7194389
3,2053,3,2,1662652
3,2054,1,1,7448256
3,2054,1,2,1784725
3,2054,3,1,7182878
3,2054,3,2,1659992
3,2055,1,1,7462408
3,2055,1,2,1788116
3,2055,3,1,7196525
3,2055,3,2,1663146
3,2056,1,1,7446737
3,2056,1,2,1784361
3,2056,3,1,7181412
3,2056,3,2,1659653
